ticker,date,type,price,quantity,position_pct,commission,cash_after,shares_after,signal_date,signal_price
AMZN,2022-10-19,buy,114.71,859,100.0,4.2091,1459.9009000000078,859,2022-10-18,116.36
AMZN,2022-10-20,buy,113.83,12,100.0,0.99,92.95090000000778,871,2022-10-19,115.07
AMZN,2022-10-28,sell,97.905,871,-100.0,4.2679,85363.93800000001,0,2022-10-27,110.96
AMZN,2022-12-14,buy,92.502,922,100.0,4.5178,72.57620000001043,922,2022-12-13,92.49
AMZN,2022-12-16,sell,88.265,922,-100.0,4.5178,81448.38840000001,0,2022-12-15,88.45
AMZN,2023-01-07,buy,83.03,946,100.0,4.6354,2897.373000000007,946,2023-01-06,86.08
AMZN,2023-01-10,buy,87.57,33,100.0,0.99,6.573000000007141,979,2023-01-09,87.36
AMZN,2023-02-07,sell,101.17,979,-100.0,4.7970999999999995,99047.20590000002,0,2023-02-06,102.18
AMZN,2023-03-15,buy,93.22,1043,100.0,5.1107,1813.6352000000188,1043,2023-03-14,94.88
AMZN,2023-03-16,buy,95.75,18,100.0,0.99,89.1452000000188,1061,2023-03-15,96.2
AMZN,2023-03-28,sell,98.11,1061,-100.0,5.1989,104178.65630000002,0,2023-03-27,98.04
AMZN,2023-04-01,buy,102.16,1008,100.0,4.9392,1196.4371000000247,1008,2023-03-31,103.29
AMZN,2023-04-04,buy,102.75,11,100.0,0.99,65.19710000002465,1019,2023-04-03,102.41
AMZN,2023-04-10,final_sell,102.17,1019,100.0,4.9931,104171.43400000001,0,,
MSFT,2022-10-19,buy,232.0920105209743,428,100.0,2.0972,662.5222970229952,428,2022-10-18,233.5215
MSFT,2022-10-22,buy,229.83995277548323,2,100.0,0.99,201.85239147202873,430,2022-10-21,237.0659
MSFT,2022-10-27,sell,226.21725015214992,430,-100.0,2.1069999999999998,97473.16295689649,0,2022-10-26,226.4914
MSFT,2022-11-09,buy,222.62379936305732,434,100.0,2.1266,852.3074333296099,434,2022-11-08,224.0925
MSFT,2022-11-10,sell,230.51559980245287,434,-100.0,2.1266,100893.95114759415,0,2022-11-09,219.8235
MSFT,2022-11-11,buy,237.91780131115695,424,100.0,2.0776,14.72579166360083,424,2022-11-10,237.908
MSFT,2022-11-29,sell,237.02701685182876,424,-100.0,2.0776,100512.10333683899,0,2022-11-28,237.3805
MSFT,2022-12-01,buy,249.27115426989675,401,100.0,1.9648999999999999,552.4055746103841,401,2022-11-30,250.5182
MSFT,2022-12-02,buy,245.29449825896006,2,100.0,0.99,60.82657809246393,403,2022-12-01,250.0763
MSFT,2022-12-07,sell,240.39496721774358,403,-100.0,1.9747,96938.02366684313,0,2022-12-06,240.6797
MSFT,2022-12-15,buy,249.1238786554757,383,100.0,1.8767,1521.7014417959435,383,2022-12-14,252.5605
MSFT,2022-12-16,sell,244.04757703624995,383,-100.0,1.8767,94990.04674667968,0,2022-12-15,244.4992
MSFT,2023-01-12,buy,230.99827363213282,410,100.0,2.009,278.7455575052154,410,2023-01-11,231.4991
