date,open,close,high,low,volume,adjusted_close
2022-10-06,120.77,120.3,121.53,119.5,42253762,120.3
2022-10-07,118.0,114.56,118.17,113.88,54677980,114.56
2022-10-10,115.1,113.67,116.25,112.43,42339680,113.67
2022-10-11,112.71,112.21,115.48,110.39,56432230,112.21
2022-10-12,112.49,112.9,113.83,111.4,45728660,112.9
2022-10-13,107.88,112.53,113.44,105.345,86868094,112.53
2022-10-14,114.1,106.9,114.96,106.6,67737344,106.9
2022-10-17,110.11,113.79,114.19,110.09,62781992,113.79
2022-10-18,119.06,116.36,119.52,114.79,65607445,116.36
2022-10-19,114.71,115.07,116.5932,113.22,47198121,115.07
2022-10-20,113.83,115.25,118.24,113.51,48795102,115.25
2022-10-21,114.792,119.32,119.59,114.5,55660488,119.32
2022-10-24,119.98,119.82,120.39,116.57,49531520,119.82
2022-10-25,119.65,120.6,121.3152,118.95,50934609,120.6
2022-10-26,116.0,115.66,119.3457,114.76,69002461,115.66
2022-10-27,113.92,110.96,114.12,109.77,129605398,110.96
2022-10-28,97.905,103.41,103.96,97.66,223133406,103.41
2022-10-31,103.56,102.44,104.87,100.74,99251398,102.44
2022-11-01,103.99,96.79,104.58,96.06,153370000,96.79
2022-11-02,97.315,92.12,97.74,92.01,135761797,92.12
2022-11-03,92.47,89.3,93.5,89.02,136683297,89.3
2022-11-04,91.49,90.98,92.44,88.04,129101297,90.98
2022-11-07,91.95,90.53,92.1,89.04,77495727,90.53
2022-11-08,90.79,89.98,91.72,88.23,88703367,89.98
2022-11-09,89.47,86.14,89.48,85.87,90796250,86.14
2022-11-10,92.935,96.63,98.69,91.65,173414891,96.63
2022-11-11,97.88,100.79,101.19,96.66,111590492,100.79
2022-11-14,98.77,98.49,100.1199,97.29,99533070,98.49
2022-11-15,103.21,98.94,103.79,97.34,111336305,98.94
2022-11-16,96.85,97.12,98.4879,95.54,87958828,97.12
2022-11-17,95.37,94.85,96.97,94.03,82617875,94.85
2022-11-18,95.95,94.14,95.99,92.48,72428195,94.14
2022-11-21,93.97,92.46,95.02,90.59,84330273,92.46
2022-11-22,92.62,93.2,93.35,90.87,62191961,93.2
2022-11-23,93.24,94.13,94.58,92.83,59414680,94.13
2022-11-25,93.79,93.41,94.43,93.065,35088609,93.41
2022-11-28,93.93,93.95,96.4,93.43,75062320,93.95
2022-11-29,94.04,92.42,94.41,91.44,65567289,92.42
2022-11-30,92.47,96.54,96.54,91.525,102805797,96.54
2022-12-01,96.99,95.5,97.23,94.92,68487969,95.5
2022-12-02,94.475,94.13,95.36,93.78,72496391,94.13
