date,open,close,high,low,volume,adjusted_close
2022-10-06,247.93,246.79,250.34,246.08,20239900,241.6384
2022-10-07,240.9,234.24,241.32,233.17,37769600,229.3504
2022-10-10,233.05,229.25,234.56,226.73,29743600,224.4646
2022-10-11,227.62,225.41,229.06,224.11,30474000,220.7047
2022-10-12,225.4,225.75,227.86,223.96,21903900,221.0376
2022-10-13,219.85,234.24,236.1,219.13,42551800,229.3504
2022-10-14,235.54,228.56,237.24,228.34,30198600,223.789
2022-10-17,235.82,237.53,238.96,235.14,28142300,232.5717
2022-10-18,243.24,238.5,243.93,235.37,26329600,233.5215
2022-10-19,237.04,236.48,239.61,234.29,19985700,231.5437
2022-10-20,235.77,236.15,241.31,234.87,21811000,231.2205
2022-10-21,234.74,242.12,243.0,234.5,26299700,237.0659
2022-10-24,243.76,247.25,247.84,241.3,24911200,242.0888
2022-10-25,247.26,250.66,251.04,245.83,34775500,245.4277
2022-10-26,231.17,231.32,238.3,230.06,82543200,226.4914
2022-10-27,231.04,226.75,233.69,225.78,40424600,222.0168
2022-10-28,226.24,235.87,236.6,226.05,40647700,230.9464
2022-10-31,233.76,232.13,234.92,231.15,28357300,227.2845
2022-11-01,234.6,228.17,235.74,227.33,30592300,223.4071
2022-11-02,229.46,220.1,231.3,220.04,38407000,215.5056
2022-11-03,220.09,214.25,220.41,213.98,36633900,209.7777
2022-11-04,217.55,221.39,221.59,213.43,36789100,216.7687
2022-11-07,221.99,227.87,228.41,221.28,33498000,223.1134
2022-11-08,228.7,228.87,231.65,225.84,28192500,224.0925
2022-11-09,227.37,224.51,228.63,224.33,27852900,219.8235
2022-11-10,235.43,242.98,243.33,235.0,46268000,237.908
2022-11-11,242.99,247.11,247.99,241.93,34620200,241.9518
2022-11-14,241.99,241.55,243.91,239.21,31123300,236.5078
2022-11-15,245.66,241.97,247.0,240.03,31390100,236.9191
2022-11-16,242.79,241.73,243.8,240.42,24093300,237.3511
2022-11-17,237.78,241.68,243.25,237.63,23123500,237.302
2022-11-18,243.51,241.22,243.74,239.03,27613500,236.8503
2022-11-21,241.43,242.05,244.67,241.19,26394700,237.6653
2022-11-22,243.59,245.03,245.31,240.71,19665700,240.5913
2022-11-23,245.11,247.58,248.28,244.27,19508500,243.0951
2022-11-25,247.31,247.49,248.7,246.73,9200800,243.0067
2022-11-28,246.08,241.76,246.65,240.8,24778200,237.3805
