date,open,close,high,low,volume,adjusted_close
2022-10-06,236.68,240.02,244.28,233.9101,9188940,240.02
2022-10-07,235.77,224.75,237.33,224.28,9806128,224.75
2022-10-10,225.64,229.98,233.83,224.23,9991145,229.98
2022-10-11,226.05,214.29,230.44,213.7,15282410,214.29
2022-10-12,214.3,220.87,223.67,212.64,12952640,220.87
2022-10-13,212.69,232.51,234.47,211.73,17505010,232.51
2022-10-14,237.8,230.0,238.8,229.51,15293400,230.0
2022-10-17,234.41,245.1,249.9221,234.4,21057820,245.1
2022-10-18,249.8,240.86,250.37,237.73,25776730,240.86
2022-10-19,265.0,272.38,279.3,262.66,46685262,272.38
2022-10-20,272.78,268.16,278.3755,266.38,17207100,268.16
2022-10-21,268.95,289.57,290.75,265.68,24889061,289.57
2022-10-24,290.23,282.45,290.49,280.36,13326420,282.45
2022-10-25,286.95,291.02,297.59,285.5501,15100720,291.02
2022-10-26,290.04,298.62,305.63,288.04,15749250,298.62
2022-10-27,298.33,296.94,305.21,294.78,14612590,296.94
2022-10-28,297.7,295.72,301.19,292.2924,9960547,295.72
2022-10-31,295.13,291.88,297.6199,289.5,7505133,291.88
2022-11-01,296.17,286.75,299.7,286.42,6916424,286.75
2022-11-02,286.4,273.0,287.33,272.84,10367620,273.0
2022-11-03,271.25,269.06,276.29,268.8,7057350,269.06
2022-11-04,272.02,260.79,274.97,255.32,11124690,260.79
2022-11-07,261.06,258.6,261.155,252.09,7927033,258.6
2022-11-08,259.92,263.46,266.08,256.8801,7683826,263.46
2022-11-09,259.66,254.66,260.9,254.2202,7265994,254.66
2022-11-10,265.99,274.97,275.36,260.0901,9667323,274.97
2022-11-11,274.47,290.13,290.66,271.5577,9573834,290.13
2022-11-14,290.0,299.27,311.0,288.19,17973400,299.27
2022-11-15,309.2,310.2,312.71,302.55,14626930,310.2
2022-11-16,309.94,306.02,310.49,303.61,8038556,306.02
2022-11-17,294.72,295.28,299.82,291.0,9838220,295.28
2022-11-18,297.33,287.98,298.0,287.0,8400108,287.98
2022-11-21,291.0,285.05,291.87,282.66,7256507,285.05
2022-11-22,284.99,286.69,286.98,277.34,6245119,286.69
2022-11-23,285.91,291.5,292.47,283.76,5918988,291.5
2022-11-25,289.0,285.54,289.21,284.17,3235953,285.54
2022-11-28,284.0,281.17,289.55,280.53,4707049,281.17
2022-11-29,282.5,280.96,282.96,275.94,5786874,280.96
2022-11-30,281.37,305.53,308.26,280.41,16070120,305.53
2022-12-01,303.99,316.95,319.8,303.03,14664870,316.95
2022-12-02,310.49,320.41,321.99,310.0,12690600,320.41
2022-12-05,316.46,312.59,322.77,310.92,8423029,312.59
2022-12-06,311.0,305.56,313.2231,303.13,7195395,305.56
2022-12-07,306.5,308.42,309.61,302.1,7821634,308.42
2022-12-08,309.11,310.26,312.38,304.8098,7205326,310.26
2022-12-09,321.45,320.01,329.0,319.52,14364030,320.01
2022-12-12,320.0,315.18,323.18,308.85,10148610,315.18
2022-12-13,328.0,320.34,332.7236,317.199,10756430,320.34
2022-12-14,318.97,317.83,324.71,314.42,7543291,317.83
2022-12-15,302.12,290.41,303.39,286.55,17724561,290.41
2022-12-16,288.76,290.71,294.7199,288.7,14080050,290.71
2022-12-19,289.73,288.3,292.25,286.13,6163667,288.3
2022-12-20,281.24,288.19,289.28,280.81,6918114,288.19
2022-12-21,289.99,297.96,300.66,286.5,6376173,297.96
