date,open,close,high,low,volume,adjusted_close
2022-10-06,239.44,238.13,244.58,235.35,69298438,238.13
2022-10-07,233.935,223.07,234.5715,222.02,83916797,223.07
2022-10-10,223.93,222.96,226.99,218.3582,67925023,222.96
2022-10-11,220.945,216.5,225.75,215.0,77013203,216.5
2022-10-12,215.33,217.24,219.2999,211.51,66860703,217.24
2022-10-13,208.3,221.72,222.99,206.22,91483047,221.72
2022-10-14,224.01,204.99,226.26,204.16,94124516,204.99
2022-10-17,210.04,219.35,221.86,209.45,79428805,219.35
2022-10-18,229.5,220.19,229.82,217.25,75891914,220.19
2022-10-19,219.8,222.04,222.93,217.78,66571477,222.04
2022-10-20,208.28,207.28,215.55,202.0,117798094,207.28
2022-10-21,206.415,214.44,214.66,203.8,75713750,214.44
2022-10-24,205.82,211.25,213.5,198.5863,100446797,211.25
2022-10-25,210.1,222.415,224.3498,210.0,96507875,222.415
2022-10-26,219.4,224.64,230.6,218.2,85327078,224.64
2022-10-27,229.77,225.09,233.81,222.85,61638820,225.09
2022-10-28,225.4,228.52,228.86,216.35,69152391,228.52
2022-10-31,226.19,227.54,229.85,221.94,61554340,227.54
2022-11-01,234.05,227.82,237.3951,227.28,62688820,227.82
2022-11-02,226.04,214.98,227.8699,214.82,63070289,214.98
2022-11-03,211.36,215.31,221.2,210.14,56538848,215.31
2022-11-04,222.6,207.47,223.8,203.08,98622211,207.47
2022-11-07,208.65,197.08,208.9,196.66,93916523,197.08
2022-11-08,194.02,191.3,195.2,186.75,128803398,191.3
2022-11-09,190.775,177.59,195.89,177.12,127062703,177.59
2022-11-10,189.9,190.72,191.0,180.03,132703000,190.72
2022-11-11,186.0,195.97,196.52,182.59,114403602,195.97
2022-11-14,192.77,190.95,195.73,186.34,92226648,190.95
2022-11-15,195.88,194.42,200.8237,192.06,91293789,194.42
2022-11-16,191.51,186.92,192.57,185.66,66567602,186.92
2022-11-17,183.96,183.17,186.16,180.9,64335969,183.17
2022-11-18,185.05,180.19,185.19,176.55,76048875,180.19
2022-11-21,175.85,167.87,176.77,167.54,92882711,167.87
2022-11-22,168.63,169.91,170.92,166.185,78452328,169.91
2022-11-23,173.57,183.2,183.62,172.5,109536703,183.2
2022-11-25,185.06,182.86,185.2,180.63,50672738,182.86
2022-11-28,179.96,182.92,188.5,179.0,93038148,182.92
2022-11-29,184.99,180.83,186.38,178.75,83357109,180.83
2022-11-30,182.43,194.7,194.76,180.6301,109186398,194.7
2022-12-01,197.08,194.7,198.92,191.8,80046211,194.7
2022-12-02,191.78,194.86,196.25,191.11,73645922,194.86
2022-12-05,189.44,182.45,191.27,180.55,93122672,182.45
2022-12-06,181.215,179.82,183.65,175.33,92150812,179.82
2022-12-07,175.03,174.04,179.38,172.218,84213281,174.04
2022-12-08,172.2,173.44,175.2,169.06,97624484,173.44
2022-12-09,173.84,179.05,182.5,173.36,104872305,179.05
2022-12-12,176.1,167.82,177.37,167.52,109794492,167.82
2022-12-13,174.87,160.95,175.05,156.91,175862703,160.95
2022-12-14,159.25,156.8,161.62,155.31,140682297,156.8
2022-12-15,153.44,157.67,160.9299,153.28,122334492,157.67
2022-12-16,159.635,150.23,160.99,150.04,139032188,150.23
2022-12-19,154.0,149.87,155.25,145.82,139390594,149.87
2022-12-20,146.05,137.8,148.47,137.66,159563297,137.8
2022-12-21,139.335,137.57,141.26,135.89,145417406,137.57
2022-12-22,136.0,125.35,136.63,122.26,210090297,125.35
2022-12-23,126.37,123.15,128.6173,121.02,166989703,123.15
2022-12-27,117.495,109.1,119.67,108.76,208643391,109.1
2022-12-28,110.35,112.71,116.27,108.24,221070500,112.71
2022-12-29,120.385,121.82,123.57,117.495,221923297,121.82
2022-12-30,119.95,123.18,124.48,119.75,157777297,123.18
2023-01-03,118.47,108.1,118.8,104.64,231402797,108.1
2023-01-04,109.11,113.64,114.59,107.52,180388984,113.64
2023-01-05,110.51,110.34,111.75,107.1601,157986297,110.34
2023-01-06,103.0,113.06,114.39,101.81,220911109,113.06
2023-01-09,118.96,119.77,123.52,117.11,190284000,119.77
2023-01-10,121.07,118.85,122.76,114.92,167642500,118.85
2023-01-11,122.09,123.22,125.95,120.51,183810797,123.22
2023-01-12,122.56,123.56,124.1311,117.0,169400891,123.56
2023-01-13,116.55,122.4,122.63,115.6,180714094,122.4
2023-01-17,125.695,131.49,131.7,125.02,186476984,131.49
2023-01-18,136.555,128.78,136.68,127.01,195680297,128.78
2023-01-19,127.26,127.17,129.99,124.3082,170291906,127.17
2023-01-20,128.68,133.42,133.51,127.3466,138858094,133.42
2023-01-23,135.87,143.75,145.3793,134.27,203119203,143.75
2023-01-24,143.0,143.89,146.5,141.1,158699109,143.89
2023-01-25,141.905,144.43,146.41,138.07,192734297,144.43
2023-01-26,159.965,160.27,161.42,154.76,234815109,160.27
2023-01-27,162.43,177.9,180.68,161.17,306590594,177.9
2023-01-30,178.05,166.66,179.77,166.5,230878797,166.66
2023-01-31,164.57,173.22,174.3,162.78,196813500,173.22
2023-02-01,173.89,181.41,183.805,169.93,213806297,181.41
2023-02-02,187.325,188.27,196.7501,182.61,217448297,188.27
2023-02-03,183.95,189.98,199.0,183.69,232662000,189.98
2023-02-06,193.01,194.76,198.17,189.92,186188094,194.76
2023-02-07,196.43,196.81,197.5,189.55,186010297,196.81
2023-02-08,196.1,201.29,203.0,194.31,180673594,201.29
2023-02-09,207.775,207.32,214.0,204.77,215431391,207.32
2023-02-10,202.225,196.89,206.2,192.89,204754094,196.89
2023-02-13,194.415,194.64,196.3,187.61,172475500,194.64
2023-02-14,191.94,209.25,209.82,189.44,216455703,209.25
2023-02-15,211.755,214.24,214.66,206.11,182108609,214.24
2023-02-16,210.78,202.04,217.65,201.84,229586500,202.04
2023-02-17,199.985,208.31,208.44,197.5,213738500,208.31
2023-02-21,204.99,197.37,209.71,197.22,180018594,197.37
2023-02-22,197.93,200.86,201.99,191.78,191828500,200.86
2023-02-23,203.91,202.07,205.14,196.33,146360000,202.07
2023-02-24,196.325,196.88,197.6695,192.8,142228094,196.88
2023-02-27,202.03,207.63,209.42,201.26,161028297,207.63
2023-02-28,210.59,205.71,211.23,203.75,153144891,205.71
2023-03-01,206.21,202.77,207.2,198.52,156852797,202.77
2023-03-02,186.74,190.9,193.7499,186.01,181979203,190.9
2023-03-03,194.795,197.79,200.48,192.88,154193297,197.79
2023-03-06,198.54,193.81,198.6,192.3,128100094,193.81
2023-03-07,191.38,187.71,194.2,186.1,148125797,187.71
2023-03-08,185.04,182.0,186.5,180.0,151897797,182.0
2023-03-09,180.25,172.92,185.18,172.5124,170023812,172.92
2023-03-10,175.13,173.44,178.29,168.44,191488891,173.44
